attendance,previous_marks,study_hours,exam_score
88,67,4,71.2
78,75,8,85.8
64,42,10,72.8
92,45,7,60.5
57,85,9,82.3
70,75,5,66.5
88,51,10,71.9
68,80,4,74.3
72,66,8,70.9
60,88,9,81.8
60,54,7,66.2
73,67,7,74.9
85,74,5,76.2
89,66,4,65.3
73,36,10,69.5
52,67,1,52.4
71,64,10,89.9
51,67,10,75.4
73,60,7,57.1
93,56,1,44.7
79,100,1,80.4
87,72,5,80.4
51,80,9,75.3
70,49,6,70.0
82,78,3,79.2
61,83,3,69.5
71,95,7,90.2
93,40,6,64.7
74,43,9,74.1
98,40,6,64.9
76,66,5,68.7
91,75,10,92.4
77,42,7,62.5
65,84,1,69.6
64,96,7,78.4
96,96,3,85.9
100,41,9,72.4
93,38,6,58.8
52,40,9,61.4
86,92,5,94.2
100,56,7,74.0
56,60,4,60.5
70,37,7,63.4
58,75,1,59.1
88,94,7,86.8
67,48,8,66.2
53,46,5,40.0
74,46,2,37.3
63,47,5,55.8
99,59,6,60.5
58,79,2,56.4
75,53,6,61.0
51,89,6,73.1
69,79,1,62.5
77,42,1,50.4
96,87,10,98.0
56,89,3,66.3
93,66,10,91.3
57,85,10,78.9
96,78,3,75.5
84,52,4,51.9
63,56,2,52.8
66,71,9,76.5
85,90,10,100.0
99,93,7,97.0
89,37,7,57.2
53,62,6,58.5
51,69,3,56.6
55,95,6,90.4
91,88,8,99.2
53,97,8,81.8
78,41,9,68.6
67,83,1,56.2
75,65,1,54.8
93,92,3,76.7
83,95,3,85.8
59,58,10,65.2
85,54,8,73.1
63,71,10,79.8
80,38,1,42.5
97,54,2,67.3
64,94,2,81.5
57,58,3,52.9
63,84,6,75.2
72,83,1,58.6
89,85,2,74.0
70,70,1,68.3
65,100,5,83.1
94,68,7,82.0
67,70,8,68.3
96,40,10,68.8
73,73,1,63.2
75,76,7,78.6
74,92,5,85.7
94,46,10,70.8
90,37,1,36.6
78,52,3,61.2
64,74,7,69.5
94,55,10,81.3
50,49,1,44.2
74,60,7,60.7
56,42,5,54.8
58,76,1,56.0
73,78,1,63.9
50,48,1,39.6
93,36,9,73.7
57,71,3,67.5
73,72,5,61.3
60,75,10,92.5
100,96,9,96.9
66,94,6,93.7
57,48,9,61.9
84,36,8,59.1
84,51,8,67.8
82,62,1,55.1
54,100,9,100.0
91,69,6,75.3
88,39,9,64.4
90,99,3,84.8
77,74,3,62.6
56,90,6,86.5
58,70,9,68.1
57,79,7,72.1
61,57,3,58.8
83,81,3,73.0
82,65,2,64.0
97,45,9,79.2
72,44,3,54.7
73,48,5,57.8
86,44,9,78.6
84,35,8,57.1
93,39,2,49.2
89,54,3,59.3
71,42,2,45.3
76,77,8,76.0
84,35,6,47.3
50,91,6,79.6
84,98,9,94.2
86,62,8,85.1
96,71,4,72.7
63,81,4,69.0
52,71,9,80.0
50,83,1,62.7
54,78,2,60.5
75,90,2,70.0
63,62,6,83.1
88,40,4,55.8
76,95,10,100.0
58,54,3,46.6
64,36,3,40.4
64,71,3,73.1
75,54,6,70.4
91,60,8,78.0
62,63,7,65.7
100,35,4,53.1
81,69,4,64.8
88,93,10,92.4
98,67,2,71.0
81,85,1,72.2
53,46,9,64.7
79,54,2,52.8
86,87,8,90.6
72,77,9,80.7
88,84,4,74.6
94,63,8,86.5
64,91,9,89.2
92,73,10,90.7
78,90,10,98.2
85,77,5,76.8
62,84,7,80.4
81,57,10,71.2
56,78,4,62.4
100,72,1,62.4
71,57,3,59.6
77,79,5,75.6
51,86,3,63.1
91,84,7,89.4
94,42,9,71.8
55,35,6,44.5
77,42,10,67.2
77,63,1,59.1
93,39,7,57.9
93,81,3,78.1
69,68,5,68.7
79,99,10,94.2
60,89,4,75.0
77,77,10,88.4
74,64,5,63.1
88,51,5,59.8
82,60,6,63.5
50,42,10,58.4
76,81,10,88.5
62,80,6,71.8
90,67,8,71.9
52,35,8,48.8
88,53,9,71.6
55,65,8,73.6
57,48,2,48.6
76,87,10,96.0
58,82,1,58.4
86,96,10,100.0
82,100,2,68.4
100,98,2,86.0
91,97,3,86.7
93,67,10,83.3
73,75,7,78.5
64,82,2,58.5
81,47,1,44.6
81,65,6,74.8
73,38,9,64.2
90,53,3,57.1
98,47,6,69.4
98,57,3,64.0
61,35,1,34.5
88,88,5,82.0
51,49,10,62.4
52,99,4,71.5
98,49,7,75.2
86,55,6,63.9
98,53,10,74.5
66,94,7,78.1
98,67,5,60.7
51,83,4,71.9
51,69,7,72.2
77,78,7,85.6
72,45,6,57.0
86,100,8,94.9
81,80,4,71.7
82,43,10,67.1
50,37,5,50.9
68,60,4,59.9
51,82,1,62.2
93,100,8,96.0
75,62,1,62.0
81,60,5,56.2
55,59,6,55.1
81,46,6,62.4
53,39,5,56.0
60,82,3,66.5
66,71,5,63.8
87,78,8,89.7
73,49,2,51.8
54,77,6,77.3
83,82,9,81.9
55,80,8,83.8
71,77,8,72.4
60,55,8,63.8
97,57,7,75.2
65,81,8,81.7
82,49,6,67.8
58,59,2,42.8
55,70,2,58.0
65,85,8,89.0
78,49,1,49.2
52,55,6,52.5
69,47,6,63.1
85,53,4,57.2
68,68,10,75.3
75,86,3,68.8
52,61,3,53.1
68,63,1,55.1
69,62,3,52.5
81,69,4,62.9
56,42,5,46.1
90,50,3,52.7
82,70,6,74.2
89,64,5,71.8
88,52,3,59.2
67,36,6,52.7
89,83,6,91.3
50,38,8,55.5
60,41,2,46.5
77,73,1,59.8
74,47,4,59.1
99,65,7,75.7
72,97,10,98.4
80,90,3,70.1
79,76,3,69.9
91,95,5,82.6
84,76,5,80.0
56,90,10,92.9
65,70,3,59.9
75,41,9,74.0
97,88,4,81.2
98,35,3,43.2
51,78,2,56.8
50,79,10,75.7
97,81,9,93.2
61,47,4,44.9
54,56,3,49.1
86,55,7,70.8
81,43,8,64.6
58,60,2,52.4
90,43,7,64.3
84,49,5,58.6
68,44,5,45.7
97,76,3,71.6
65,58,5,63.0
52,83,2,63.0
69,60,4,62.2
73,71,6,69.4
82,84,1,74.2
73,58,10,62.4
60,53,4,54.9
98,94,6,97.9
57,73,9,84.4
85,52,2,53.7
87,53,7,61.8
89,70,6,82.6
69,89,2,70.9
84,81,8,84.8
97,83,7,82.9
74,67,5,61.6
84,55,5,66.6
74,56,7,70.1
78,82,9,88.1
67,71,9,74.5
95,49,9,67.9
67,69,6,62.5
51,66,10,71.2
84,45,6,55.7
65,44,3,39.4
90,91,1,78.3
85,59,7,64.6
82,36,4,55.2
53,98,1,71.6
82,69,8,79.9
63,41,6,61.6
70,52,6,54.7
97,76,2,75.4
69,73,1,58.4
57,75,2,73.4
56,58,4,54.0
52,94,2,67.0
66,80,1,65.1
82,53,7,66.1
97,76,8,82.3
61,66,6,61.7
100,73,4,82.4
71,70,6,65.4
71,70,3,64.9
95,37,8,69.4
79,42,10,73.4
87,75,2,65.0
87,47,5,59.1
94,83,1,69.6
100,94,6,84.0
57,36,2,41.7
76,94,4,80.9
76,39,6,62.7
83,78,10,84.5
70,61,8,76.5
79,66,8,81.8
82,55,6,66.0
77,42,4,41.5
96,84,8,87.6
82,78,8,92.3
54,92,10,90.6
97,37,1,50.6
68,36,4,46.4
53,78,4,65.0
84,36,7,49.0
98,69,7,83.9
66,64,8,77.1
93,42,5,54.1
77,56,7,66.7
79,78,8,81.1
78,92,9,94.7
95,70,3,67.0
55,65,3,61.7
84,81,4,75.9
90,89,5,71.2
86,96,10,100.0
73,64,1,60.9
78,89,7,80.2
98,50,9,76.5
95,46,8,78.2
80,51,5,61.1
84,50,4,64.2
82,46,7,61.1
70,42,5,53.0
81,37,7,57.1
72,50,1,46.1
82,64,1,57.5
52,57,10,61.2
67,39,3,44.0
74,99,2,84.6
91,64,2,58.1
80,55,7,62.4
52,56,10,69.1
89,66,2,64.1
95,67,4,72.5
73,50,2,50.2
99,72,6,79.7
81,48,8,64.9
96,70,10,81.1
71,57,4,58.7
72,100,5,89.1
51,36,4,45.1
76,99,3,72.2
91,86,5,83.8
51,96,9,83.6
75,57,8,77.1
66,60,8,71.1
89,89,8,95.7
82,40,8,62.6
58,69,7,69.6
92,56,8,81.3
97,77,8,91.5
88,49,8,69.5
78,94,10,95.2
91,46,7,57.0
75,83,1,68.5
84,76,4,72.2
99,72,4,77.1
74,79,5,78.7
73,69,10,87.4
62,64,6,67.4
56,64,4,54.0
85,40,2,37.5
94,41,6,56.9
69,86,8,91.2
50,48,8,68.0
57,49,7,57.5
95,55,6,61.7
65,69,2,56.0
63,100,7,93.9
61,36,5,44.6
100,69,6,80.9
72,54,10,73.5
64,44,8,63.8
77,59,8,80.8
83,100,3,86.2
51,59,7,63.4
81,88,1,80.8
72,67,1,59.1
71,70,7,69.8
100,48,10,79.8
74,99,9,97.7
71,88,7,82.1
71,86,10,87.5
98,37,5,55.9
91,75,8,81.3
55,40,2,39.4
64,59,9,66.7
92,47,6,65.8
86,42,9,68.7
82,55,2,57.5
57,59,3,53.9
93,79,8,85.8
93,94,1,84.7
54,46,10,64.1
88,66,7,82.1
53,47,7,51.6
55,65,1,54.9
94,54,9,72.0
81,52,8,66.1
79,94,4,79.4
96,97,10,100.0
84,40,5,53.2
89,66,2,69.6
65,77,9,81.3
62,36,6,51.4
99,94,3,81.7
91,57,7,75.9
79,65,9,79.8
68,39,3,44.4
66,68,2,51.0
68,44,7,59.8
77,36,7,59.4
